office_name,website,root_domain,gemeente,final_status,final_aanbod_url,confidence,detection_method,homepage_status,homepage_title,candidates_found_count,candidates_tested_count,best_candidate_url,final_page_type,residential_signals_count,residential_signals_found,commercial_signals_count,commercial_signals_found,page_quality_reason,commercial_hard_block,commercial_block_reason,is_duplicate_audit_result,listing_signals_count,listing_signals_found,rejection_reason,elapsed_ms
Kruijswijk Makelaardij o.g.,http://www.kruijswijkmakelaardij.nl,kruijswijkmakelaardij.nl,Son en Breugel,suspect,https://www.kruijswijkmakelaardij.nl/aanbod,100,homepage_link,200,Kruijswijk Makelaardij | Uw makelaar voor Son en Breugel e.o.,15,1,https://www.kruijswijkmakelaardij.nl/aanbod,project_page,12,"woning,woningen,appartement,huis,vrijstaand,tussenwoning,hoekwoning,slaapkamers,woonoppervlakte,te koop,k.k.,vraagprijs",4,"bedrijfsruimte,kantoorruimte,winkelruimte,horeca",project_page,false,,false,13,"prijs,vraagprijs,k.k.,koop,verkocht,woonoppervlakte,perceel,kamers,slaapkamers,woning,appartement,vrijstaand,tussenwoning",project_page,27709
ViaLinda,https://www.vialinda.nl,vialinda.nl,Son en Breugel,missing,,0,failed,200,vialinda.nl,7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,602
De Bont Makelaardij B.V.,http://www.debontmakelaardij.nl,debontmakelaardij.nl,Tilburg,suspect,https://debontmakelaardij.nl/Nieuws/1200/Hulp-nodig-bij-aankoop-.html,91,sitemap,200,De Bont Makelaardij,12,5,https://debontmakelaardij.nl/Nieuws/1200/Hulp-nodig-bij-aankoop-.html,project_page,4,"woning,woningen,huis,te koop",0,,project_page,false,,false,3,"prijs,koop,woning",project_page,4625
Hart van Brabant Makelaardij B.V.,http://www.hartvanbrabantmakelaardij.nl,hartvanbrabantmakelaardij.nl,Tilburg,suspect,https://hartvanbrabantmakelaardij.nl,100,homepage_link,200,Hart van Brabant Makelaardij - Op zoek naar dé perfecte woning? Dan bent u bij ons aan het juiste adres. : Hart van Brabant Makelaardij Op zoek naar dé perfecte woning? Dan bent u bij ons aan het juiste adres.,8,1,https://hartvanbrabantmakelaardij.nl,project_page,7,"woning,appartement,huis,vrijstaand,tussenwoning,slaapkamers,k.k.",0,,project_page,false,,false,10,"prijs,k.k.,koop,kamers,slaapkamers,adres,woning,appartement,vrijstaand,tussenwoning",project_page,32248
Van den Bosch Makelaars B.V.,https://www.vandenboschmakelaars.com,vandenboschmakelaars.com,Tilburg,suspect,https://www.vandenboschmakelaars.com/woning-dongen,100,homepage_link,200,Makelaar Dongen - én vestiging Tilburg | Van den Bosch Makelaars,13,4,https://www.vandenboschmakelaars.com/woning-dongen,property_detail,5,"woning,woningen,appartement,huis,huizen",0,,property_detail,false,,false,4,"koop,adres,woning,appartement",property_detail,13948
Van Heeswijk Jansen Makelaars,http://www.hj-makelaars.nl,hj-makelaars.nl,Tilburg,suspect,https://www.hj-makelaars.nl/huis-kopen-tilburg,95,homepage_link,200,Jouw makelaar in regio Tilburg - HJ Makelaars,10,2,https://www.hj-makelaars.nl/huis-kopen-tilburg,property_detail,4,"woning,woningen,huis,te koop",0,,property_detail,false,,false,4,"koop,adres,postcode,woning",property_detail,21610
ATENZIJLSTRA Makelaars,http://www.atenzijlstra.nl,atenzijlstra.nl,Vught,suspect,https://atenzijlstra.nl/aanbod,100,homepage_link,200,Atenzijlstra makelaars actief in Vught en Den Bosch,7,1,https://atenzijlstra.nl/aanbod,project_page,10,"woning,woningen,appartement,huis,woonhuis,vrijstaand,tussenwoning,hoekwoning,slaapkamers,k.k.",1,bedrijfsruimte,project_page,false,,false,12,"prijs,k.k.,koop,verkocht,beschikbaar,onder bod,kamers,slaapkamers,woning,appartement,vrijstaand,tussenwoning",project_page,25123
Buro t'sas Makelaardij o.g,http://www.tsas.nl,tsas.nl,Vught,valid,https://www.tsas.nl/aanbod,100,homepage_link,200,Welkom bij de makelaar in Vught,22,1,https://www.tsas.nl/aanbod,listing_index,10,"woning,woningen,appartement,huis,huizen,tussenwoning,slaapkamers,woonoppervlakte,te koop,k.k.",0,,residential_listing_index,false,,false,11,"prijs,k.k.,koop,verkocht,beschikbaar,woonoppervlakte,kamers,slaapkamers,woning,appartement,tussenwoning",,15670
MATAX Makelaardij,http://www.matax.nl,matax.nl,Vught,missing,,0,failed,200,Matax – Matax,7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,7942
Elias Makelaars,https://www.eliasmakelaars.nl,eliasmakelaars.nl,Waalre,missing,,0,failed,200,"Elias Makelaars | makelaar Eindhoven e.o | De Kranssen 77, Waalre, Nederland",7,7,,unknown,0,,0,,no_candidate_found,false,,false,0,,no_candidate_found,1694
Irene van Aken Makelaardij,http://www.vanakenmakelaardij.nl,vanakenmakelaardij.nl,Waalre,suspect,https://vanakenmakelaardij.nl/woningen,100,homepage_link,200,Makelaar Waalre - Irene Van Aken Makelaardij | Dit voelt als thuiskomen | Waalre,11,1,https://vanakenmakelaardij.nl/woningen,property_detail,5,"woning,woningen,huis,slaapkamers,k.k.",0,,property_detail,false,,false,10,"prijs,k.k.,koop,verkocht,beschikbaar,onder bod,kamers,slaapkamers,adres,woning",property_detail,15210
Tivoli woningmakelaars,https://www.tivoliwoningmakelaars,tivoliwoningmakelaars,Waalwijk,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.tivoliwoningmakelaars/
Call log:
  - navigating to ""https://www.tivoliwoningmakelaars/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.tivoliwoningmakelaars/
Call log:
  - navigating to ""https://www.tivoliwoningmakelaars/"", waiting until ""domcontentloaded""
",18
Brabant Makelaardij,http://www.brabantmakelaardij.nl,brabantmakelaardij.nl,Woensdrecht,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.brabantmakelaardij.nl/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://www.brabantmakelaardij.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.brabantmakelaardij.nl/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://www.brabantmakelaardij.nl/"", waiting until ""domcontentloaded""
",225
DE VIERWINDEN MAKELAARDIJ B.V.,http://www.devierwindenmakelaardij.nl,devierwindenmakelaardij.nl,Woensdrecht,failed_fetch,,0,failed,0,,0,0,,unknown,0,,0,,"Page.goto: Navigation to ""http://www.devierwindenmakelaardij.nl/"" is interrupted by another navigation to ""https://www.brabantmakelaardij.nl/""
Call log:
  - navigating to ""http://www.devierwindenmakelaardij.nl/"", waiting until ""domcontentloaded""
",false,,false,0,,"Page.goto: Navigation to ""http://www.devierwindenmakelaardij.nl/"" is interrupted by another navigation to ""https://www.brabantmakelaardij.nl/""
Call log:
  - navigating to ""http://www.devierwindenmakelaardij.nl/"", waiting until ""domcontentloaded""
",2662
