property_id,source_id,source_root_domain,source_aanbod_url,property_url,title,address_raw,city_raw,gemeente,price_raw,price_eur,status,status_raw,living_area_raw,plot_area_raw,rooms_raw,image_url,first_seen_at,last_seen_at,discovery_run_id,extraction_confidence,needs_review,review_reason
9c1f55fd85819d86,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/dagpauwoog-2-7038,Dagpauwoog 2,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 530.000,",530000,verkocht_ov,verkocht onder voorbehoud,110 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7038/279341978-400942_480x320_fit.png.webp?t=1780581495,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
15993666aee1c589,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/broekwal-48-7037,Broekwal 48,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.395.000,",1395000,verkocht_ov,verkocht onder voorbehoud,246 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/7037/278550554-400916_480x320_fit.jpg.webp?t=1780579758,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
466346d12589c5e0,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/voordijk-7035,Voordijk,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 595.000,",595000,verkocht_ov,verkocht onder voorbehoud,0 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7035/279354870-400793_480x320_fit.jpg.webp?t=1780571740,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
b74189924df81b57,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/hoge-maasdijk-13-7029,Hoge Maasdijk 13,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.575.000,",1575000,verkocht_ov,verkocht onder voorbehoud,236 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/7029/278873664-400345_480x320_fit.jpg.webp?t=1780564305,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
f27c0da2d9aaa1f5,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/vondelstraat-20-6952,Vondelstraat 20,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 395.000,",395000,verkocht_ov,verkocht onder voorbehoud,100 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6952/278508204-396171_480x320_fit.jpg.webp?t=1780081314,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
241edc28d6f42eb8,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/pieter-bruegelstraat-39-6947,Pieter Bruegelstraat 39,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 497.500,",497500,verkocht_ov,verkocht onder voorbehoud,139 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6947/278260388-396119_480x320_fit.jpg.webp?t=1780074519,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
8176157f1b7e8f9a,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/dr-de-brouwerstraat-4-6944,Dr. de Brouwerstraat 4,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 397.500,",397500,verkocht_ov,verkocht onder voorbehoud,85 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6944/277766194-395507_480x320_fit.jpg.webp?t=1780063132,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
477bcf034ca77f6f,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/ranonkelstraat-28-6939,Ranonkelstraat 28,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 1.045.000,",1045000,verkocht_ov,verkocht onder voorbehoud,213 m²,,,https://cloud01.topsite.nl/properties/brokers/7/residential-properties/6939/278199854-395246_480x320_fit.jpg.webp?t=1780059739,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
3a0b397b16d3ebaf,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/deken-van-baarstraat-21a-6933,Deken van Baarstraat 21A,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 840.000,",840000,verkocht_ov,verkocht onder voorbehoud,346 m²,,,https://cloud01.topsite.nl/properties/brokers/6/residential-properties/6933/248648343-394863_480x320_fit.jpg.webp?t=1780054948,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
842838fa9b67a4c2,amb-makelaars.nl__'s-hertogenbosch,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,https://www.amb-makelaars.nl/aanbod/oude-vlijmenseweg-261-6929,Oude Vlijmenseweg 261,Heusden Grotestraat 208,5151 BR Drunen,'s-Hertogenbosch,"€ 769.000,",769000,verkocht_ov,verkocht onder voorbehoud,140 m²,,,https://cloud01.topsite.nl/properties/brokers/5/residential-properties/6929/278322680-394701_480x320_fit.jpg.webp?t=1780048255,20260613T193908Z,20260613T193908Z,20260613T193908Z,0.95,false,
