office_name,website,root_domain,raw_place,normalized_place,gemeente,plaats,place_status,place_review_reason,provincie,aanbod_url,aanbod_url_quality,confidence,needs_review,source_adapter,source_origin,score,status,review_reason,rejection_reason,notes,osm_type,osm_id,osm_website,osm_contact_website,osm_city,osm_postcode,osm_phone,osm_contact_phone,osm_email,osm_contact_email,osm_lat,osm_lon,evidence
Taxatie 4u,,,Breda,Breda,Breda,Breda,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Van Bragt Makelaars & Taxateurs,,,Breda,Breda,Breda,Breda,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Trommelen Makelaars en Taxateurs,,,Drimmelen,Drimmelen,Drimmelen,Drimmelen,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Trommelen Makelaars en Taxateurs,,,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Appart Makelaars,,,Gilze En Rijen,Gilze en Rijen,Gilze en Rijen,Gilze En Rijen,alias,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Kin Makelaars,,,Rijen,Rijen,Gilze en Rijen,Rijen,locality_to_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2857127074 | raw_addr_city=Rijen | normalized_place=Rijen | normalized_gemeente=Gilze en Rijen | place_status=locality_to_gemeente | postcode=5121JA | lat=51.5897663 | lon=4.9182573,node,2857127074,,,Rijen,5121JA,,,,,51.5897663,4.9182573,website_exists=false | rejection_reason=missing_website
VDP,,,Rijen,Rijen,Gilze en Rijen,Rijen,locality_to_gemeente,,Noord-Brabant,,missing,0.50,true,overpass_osm,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2857105816 | raw_addr_city=Rijen | normalized_place=Rijen | normalized_gemeente=Gilze en Rijen | place_status=locality_to_gemeente | postcode=5121JA | lat=51.5891881 | lon=4.918568 | osm_type=node | osm_id=2857157742 | raw_addr_city=Rijen | normalized_place=Rijen | normalized_gemeente=Gilze en Rijen | place_status=locality_to_gemeente | postcode=5121JA | lat=51.5887748 | lon=4.9188365,node,2857105816,,,Rijen,5121JA,,,,,51.5891881,4.918568,website_exists=false | rejection_reason=missing_website
Robert Rexwinkel Lommers Makelaars,,,Hilvarenbeek,Hilvarenbeek,Hilvarenbeek,Hilvarenbeek,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2820947451 | raw_addr_city=Hilvarenbeek | normalized_place=Hilvarenbeek | normalized_gemeente=Hilvarenbeek | place_status=current_gemeente | postcode=5081AE | lat=51.4844128 | lon=5.1381379,node,2820947451,,,Hilvarenbeek,5081AE,,,,,51.4844128,5.1381379,website_exists=false | rejection_reason=missing_website
Beaufort & Kwakkernaat ERA Makelaars,,,Land Van Cuijk,Land van Cuijk,Land van Cuijk,Land Van Cuijk,alias,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,era | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
De Wissel Beheer B.V.,,,Land Van Cuijk,Land van Cuijk,Land van Cuijk,Land Van Cuijk,alias,,Noord-Brabant,,missing,0.40,true,seed,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Hansdemakelaar,,,Land Van Cuijk,Land van Cuijk,Land van Cuijk,Land Van Cuijk,alias,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Nooijen Makelaardij,,,Boxmeer,Boxmeer,Land van Cuijk,Boxmeer,former_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2754648331 | raw_addr_city=Boxmeer | normalized_place=Boxmeer | normalized_gemeente=Land van Cuijk | place_status=former_gemeente | postcode=5831KC | lat=51.6490061 | lon=5.9504002,node,2754648331,,,Boxmeer,5831KC,,,,,51.6490061,5.9504002,website_exists=false | rejection_reason=missing_website
Overwater Rentmeesterskantoor B.V.,,,Moerdijk,Moerdijk,Moerdijk,Moerdijk,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Biemans Makelaardij en Assurantiën,,,Oosterhout,Oosterhout,Oosterhout,Oosterhout,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2853493220 | raw_addr_city=Oosterhout | normalized_place=Oosterhout | normalized_gemeente=Oosterhout | place_status=current_gemeente | postcode=4901KC | lat=51.6431889 | lon=4.8567266,node,2853493220,,,Oosterhout,4901KC,,,,,51.6431889,4.8567266,website_exists=false | rejection_reason=missing_website
Trommelen Makelaars en Taxateurs,,,Oosterhout,Oosterhout,Oosterhout,Oosterhout,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Lavrijsen Makelaardij,,,Reusel De Mierden,Reusel-De Mierden,Reusel-De Mierden,Reusel De Mierden,alias,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
BrouwersHonselaarMakelaars,,,Berlicum,Berlicum,Sint-Michielsgestel,Berlicum,locality_to_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2760250993 | raw_addr_city=Berlicum | normalized_place=Berlicum | normalized_gemeente=Sint-Michielsgestel | place_status=locality_to_gemeente | postcode=5258KA | lat=51.67865 | lon=5.4005472,node,2760250993,,,Berlicum,5258KA,,,,,51.67865,5.4005472,website_exists=false | rejection_reason=missing_website
Kruijswijk,,,Son en Breugel,Son en Breugel,Son en Breugel,Son en Breugel,alias,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2792749783 | raw_addr_city=Son en Breugel | normalized_place=Son en Breugel | normalized_gemeente=Son en Breugel | place_status=alias | postcode=5691AB | lat=51.5089269 | lon=5.4925992,node,2792749783,,,Son en Breugel,5691AB,,,,,51.5089269,5.4925992,website_exists=false | rejection_reason=missing_website
Becx Makelaardij,,,Tilburg,Tilburg,Tilburg,Tilburg,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2850741338 | raw_addr_city=Tilburg | normalized_place=Tilburg | normalized_gemeente=Tilburg | place_status=current_gemeente | postcode=5038WP | lat=51.5553146 | lon=5.090937,node,2850741338,,,Tilburg,5038WP,,,,,51.5553146,5.090937,website_exists=false | rejection_reason=missing_website
Kempenburg,,,Tilburg,Tilburg,Tilburg,Tilburg,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2850944530 | raw_addr_city=Tilburg | normalized_place=Tilburg | normalized_gemeente=Tilburg | place_status=current_gemeente | postcode=5014HH | lat=51.5655619 | lon=5.0894537,node,2850944530,,,Tilburg,5014HH,,,,,51.5655619,5.0894537,website_exists=false | rejection_reason=missing_website
Rotsvast,,,Tilburg,Tilburg,Tilburg,Tilburg,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2850738223 | raw_addr_city=Tilburg | normalized_place=Tilburg | normalized_gemeente=Tilburg | place_status=current_gemeente | postcode=5038WS | lat=51.5534459 | lon=5.0902441,node,2850738223,,,Tilburg,5038WS,,,,,51.5534459,5.0902441,website_exists=false | rejection_reason=missing_website
Shirley Kneepkens Makelaardij,,,Berkel-Enschot,Berkel-Enschot,Tilburg,Berkel-Enschot,locality_to_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2841727167 | raw_addr_city=Berkel-Enschot | normalized_place=Berkel-Enschot | normalized_gemeente=Tilburg | place_status=locality_to_gemeente | postcode=5056HD | lat=51.5866481 | lon=5.1401273,node,2841727167,,,Berkel-Enschot,5056HD,,,,,51.5866481,5.1401273,website_exists=false | rejection_reason=missing_website
Pit Makerlaars,,,Veldhoven,Veldhoven,Veldhoven,Veldhoven,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=6287108383 | raw_addr_city=Veldhoven | normalized_place=Veldhoven | normalized_gemeente=Veldhoven | place_status=current_gemeente | postcode=5504HB | lat=51.4043667 | lon=5.3991721,node,6287108383,,,Veldhoven,5504HB,,,,,51.4043667,5.3991721,website_exists=false | rejection_reason=missing_website
Van de Schans Makelaardij B.V.,,,Veldhoven,Veldhoven,Veldhoven,Veldhoven,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2833323390 | raw_addr_city=Veldhoven | normalized_place=Veldhoven | normalized_gemeente=Veldhoven | place_status=current_gemeente | postcode=5502JV | lat=51.4249826 | lon=5.4150752,node,2833323390,,,Veldhoven,5502JV,,,,,51.4249826,5.4150752,website_exists=false | rejection_reason=missing_website
Van Kasteren Makelaardij,,,Veldhoven,Veldhoven,Veldhoven,Veldhoven,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=6287110986 | raw_addr_city=Veldhoven | normalized_place=Veldhoven | normalized_gemeente=Veldhoven | place_status=current_gemeente | postcode=5504HH | lat=51.40318 | lon=5.3970564,node,6287110986,,,Veldhoven,5504HH,,,,,51.40318,5.3970564,website_exists=false | rejection_reason=missing_website
Atenzijlstra Makelaars,,,Vught,Vught,Vught,Vught,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=4519462797 | raw_addr_city=Vught | normalized_place=Vught | normalized_gemeente=Vught | place_status=current_gemeente | postcode=5261CJ | lat=51.6587755 | lon=5.2980949,node,4519462797,,,Vught,5261CJ,,,,,51.6587755,5.2980949,website_exists=false | rejection_reason=missing_website
Buro Kuiten B.V.,,,Vught,Vught,Vught,Vught,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url
Schuurmans Vastgoed,,,Vught,Vught,Vught,Vught,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2772353645 | raw_addr_city=Vught | normalized_place=Vught | normalized_gemeente=Vught | place_status=current_gemeente | postcode=5262GJ | lat=51.6447695 | lon=5.2918915,node,2772353645,,,Vught,5262GJ,,,,,51.6447695,5.2918915,website_exists=false | rejection_reason=missing_website
't Sas,,,Vught,Vught,Vught,Vught,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2772758803 | raw_addr_city=Vught | normalized_place=Vught | normalized_gemeente=Vught | place_status=current_gemeente | postcode=5261CJ | lat=51.6591236 | lon=5.2980922,node,2772758803,,,Vught,5261CJ,,,,,51.6591236,5.2980922,website_exists=false | rejection_reason=missing_website
Van de Zande Makelaardij,,,Waalwijk,Waalwijk,Waalwijk,Waalwijk,current_gemeente,,Noord-Brabant,,missing,0.50,true,overpass,overpass_osm,0,rejected,overpass candidate requires validation; missing website in Overpass candidate,missing_website,osm_type=node | osm_id=2892316172 | raw_addr_city=Waalwijk | normalized_place=Waalwijk | normalized_gemeente=Waalwijk | place_status=current_gemeente | postcode=5142CD | lat=51.6911809 | lon=5.0755497,node,2892316172,,,Waalwijk,5142CD,,,,,51.6911809,5.0755497,website_exists=false | rejection_reason=missing_website
Grosfeld makelaardij,,,Woensdrecht,Woensdrecht,Woensdrecht,Woensdrecht,current_gemeente,,Noord-Brabant,,missing,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url"
