office_name,website,domain,root_domain,koopaanbod_url,koopaanbod_url_quality,plaats,provincie,source_type,discovery_source,confidence,needs_review,review_reason,notes,raw_place,normalized_place,gemeente,place_status,place_review_reason
Box Makelaardij,http://www.boxmakelaardij.nl,boxmakelaardij.nl,boxmakelaardij.nl,https://www.boxmakelaardij.nl/aanbod/tussenwoning-vezelstraat-15-reusel,valid,Bladel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=2, koop=3, huur=0",Bladel,Bladel,Bladel,current_gemeente,
Roijmans Makelaardij,http://www.roijmans.nl,roijmans.nl,roijmans.nl,http://www.roijmans.nl/bedrijfsmatig-aanbod/koop/bladel/hallenstraat/5-h0,valid,Bladel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=3, koop=4, huur=0",Bladel,Bladel,Bladel,current_gemeente,
Jonkers Makelaardij,https://www.jonkers-makelaardij.nl,jonkers-makelaardij.nl,jonkers-makelaardij.nl,https://www.jonkers-makelaardij.nl/aanbod/woningaanbod/koop,valid,Boekel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=3, huur=0",Boekel,Boekel,Boekel,current_gemeente,
Makelaardij Christian,,,,,missing,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain,Boxtel,Boxtel,Boxtel,current_gemeente,
Nuyens Makelaars,http://www.nuyensmakelaars.nl,nuyensmakelaars.nl,nuyensmakelaars.nl,,missing,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Boxtel,Boxtel,Boxtel,current_gemeente,
Staete Makelaars Boxtel,https://www.staete.nl,staete.nl,staete.nl,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj,valid,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=6, koop=4, huur=0",Boxtel,Boxtel,Boxtel,current_gemeente,
Tijn Maas Makelaardij,https://www.tm-makelaardij.nl,tm-makelaardij.nl,tm-makelaardij.nl,https://www.tm-makelaardij.nl/woningaanbod,valid,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, sin senales huur",Boxtel,Boxtel,Boxtel,current_gemeente,
Van der Ven Makelaardij,,,,,missing,Boxtel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain,Boxtel,Boxtel,Boxtel,current_gemeente,
Bastia Real Estate BV,https://www.bastiarealestate.com,bastiarealestate.com,bastiarealestate.com,https://bastiarealestate.com/woningaanbod/kwaadeindstraat-95-tilburg,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.52),Breda,Breda,Breda,current_gemeente,
Bastiaansen van den Bemd Makelaars Taxateurs,https://www.b-vdb.nl,b-vdb.nl,b-vdb.nl,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Breda,Breda,Breda,current_gemeente,
